3398 2
1,395391 2,805259
1,391243 2,809204
1,394075 2,808775
1,391038 2,810058
1,393615 2,806896
1,393114 2,807853
1,389506 2,803133
1,391093 2,808957
1,394307 2,805576
1,392859 2,808837
1,393729 2,806648
1,393997 2,807724
1,389742 2,806958
1,394484 2,810050
1,395462 2,805179
1,394578 2,806566
1,390549 2,808467
1,393058 2,802913
1,394699 2,804810
1,389035 2,812766
1,394824 2,809861
1,388559 2,813259
1,389709 2,809513
1,394474 2,808155
1,389183 2,810987
1,394958 2,804777
1,390001 2,809466
1,383717 2,801908
1,391231 2,809043
1,394819 2,810837
1,394066 2,807397
1,394842 2,806876
1,394829 2,802386
1,394530 2,811054
1,394478 2,803333
1,391136 2,804165
1,390850 2,804839
1,394437 2,807418
1,394190 2,806640
1,388750 2,811706
1,387216 2,812702
1,394454 2,803601
1,394723 2,813320
1,394413 2,805620
1,395016 2,810580
1,389053 2,813742
1,390596 2,812627
1,392074 2,808641
1,388894 2,813817
1,390621 2,808485
1,393851 2,807279
1,393886 2,807236
1,389892 2,809636
1,388594 2,812355
1,388401 2,813470
1,395157 2,802850
1,394815 2,802876
1,394792 2,802994
1,394768 2,802850
1,391107 2,805467
1,357444 2,815791
1,392978 2,841955
1,368522 2,796706
1,371399 2,796976
1,368299 2,864076
1,382957 2,772933
1,398038 2,866599
1,404373 2,864729
1,398940 2,848479
1,412875 2,842069
1,413162 2,842287
1,413373 2,842467
1,404355 2,858797
1,413064 2,844338
1,410979 2,844223
1,315279 2,791516
1,315332 2,791535
1,408842 2,836885
1,379310 2,799341
1,363072 2,768871
1,395900 2,830059
1,395739 2,830758
1,395594 2,830650
1,402484 2,864382
1,400053 2,865701
1,399508 2,867203
1,398491 2,867212
1,398672 2,867292
1,404840 2,837231
1,352108 2,839482
1,353482 2,839492
1,363040 2,827904
1,366734 2,864325
1,376955 2,822437
1,376841 2,822525
1,377534 2,820229
1,377382 2,821720
1,358935 2,799676
1,379045 2,815646
1,378925 2,816756
1,372036 2,771707
1,371670 2,864177
1,385733 2,800131
1,399040 2,848489
1,368620 2,765355
1,388387 2,819981
1,390381 2,819018
1,390373 2,819166
1,390339 2,818927
1,390479 2,819125
1,380258 2,827645
1,366908 2,825672
1,412534 2,846303
1,413487 2,846415
1,413323 2,846659
1,413334 2,845897
1,413200 2,846717
1,413409 2,846349
1,411461 2,844785
1,411775 2,846631
1,411899 2,846585
1,412630 2,846118
1,411938 2,846756
1,388781 2,828061
1,392536 2,797893
1,392495 2,797974
1,387608 2,785440
1,372623 2,850159
1,372259 2,850341
1,382284 2,806439
1,363838 2,741037
1,362488 2,742310
1,362927 2,742222
1,363517 2,740195
1,364575 2,741330
1,363960 2,741582
1,364719 2,741321
1,360150 2,760448
1,358338 2,760087
1,358407 2,760086
1,358264 2,760231
1,358456 2,760088
1,358502 2,760098
1,359815 2,760100
1,360929 2,759680
1,360279 2,760226
1,354659 2,734557
1,354521 2,734487
1,356413 2,734491
1,343466 2,749874
1,343702 2,749861
1,343849 2,749698
1,343740 2,749620
1,343806 2,749770
1,346245 2,750644
1,345636 2,750543
1,346195 2,751362
1,345752 2,750375
1,338615 2,753790
1,371620 2,760481
1,371396 2,760365
1,371712 2,759361
1,372534 2,760028
1,371242 2,757890
1,371794 2,757715
1,366650 2,749057
1,354989 2,750460
1,350018 2,738730
1,361151 2,751072
1,346441 2,757340
1,338581 2,735180
1,362497 2,764704
1,347323 2,761227
1,339447 2,734863
1,339766 2,734179
1,360319 2,740568
1,348216 2,744096
1,352187 2,755543
1,360711 2,744337
1,361877 2,739472
1,363208 2,741732
1,360119 2,759859
1,360473 2,760047
1,354174 2,734670
1,362849 2,742473
1,362397 2,742229
1,362736 2,742139
1,362676 2,742065
1,362775 2,742361
1,355437 2,734257
1,355293 2,734138
1,355873 2,734495
1,338892 2,753174
1,371875 2,759383
1,370921 2,761728
1,186508 2,688216
1,217553 2,677273
1,230870 2,681299
1,171677 2,620671
1,171393 2,621395
1,207645 2,667189
1,217382 2,676382
1,173506 2,620445
1,171650 2,620834
1,184526 2,727912
1,185975 2,688927
1,186700 2,686592
1,216543 2,676386
1,216383 2,676284
1,216328 2,676033
1,216572 2,675345
1,208402 2,664926
1,208202 2,664590
1,185620 2,728841
1,171463 2,620110
1,185579 2,728698
1,171278 2,621544
1,171821 2,620711
1,186552 2,687757
1,217240 2,677391
1,208472 2,664217
1,186438 2,687934
1,209861 2,668565
1,193201 2,669029
1,235297 2,678399
1,208317 2,666835
1,229863 2,683200
1,324398 2,672746
1,325335 2,673201
1,322506 2,672023
1,323388 2,677418
1,325835 2,675550
1,321804 2,670934
1,323143 2,677410
1,322098 2,677373
1,318661 2,675686
1,323089 2,673250
1,327980 2,676005
1,322346 2,677145
1,323683 2,677518
1,323075 2,677076
1,322878 2,676978
1,325761 2,677593
1,326079 2,677782
1,322163 2,672429
1,329604 2,671102
1,322569 2,672062
1,322764 2,676756
1,323160 2,674623
1,323143 2,677311
1,323129 2,672604
1,318713 2,675612
1,322788 2,677358
1,321374 2,676512
1,326892 2,675568
1,323721 2,672705
1,322245 2,670735
1,312160 2,671675
1,327835 2,667725
1,321331 2,676399
1,326005 2,673722
1,322211 2,677190
1,328357 2,676271
1,326851 2,677012
1,327423 2,676623
1,323416 2,677626
1,322448 2,677221
1,312715 2,670468
1,313585 2,671339
1,313679 2,671286
1,311541 2,671334
1,314753 2,672833
1,316088 2,674082
1,317734 2,670291
1,311614 2,671815
1,311860 2,671517
1,312078 2,672425
1,311799 2,672357
1,312071 2,672771
1,330725 2,671398
1,328972 2,671740
1,318855 2,670687
1,322310 2,677021
1,288872 2,691844
1,289496 2,693676
1,288433 2,692020
1,287994 2,693520
1,288740 2,691891
1,287946 2,692379
1,287398 2,692508
1,288538 2,693294
1,288328 2,697383
1,288387 2,697299
1,291507 2,691961
1,291318 2,691632
1,292740 2,689958
1,292701 2,692376
1,293897 2,692502
1,290948 2,693812
1,286156 2,697071
1,290407 2,696008
1,289424 2,694117
1,291389 2,697223
1,291657 2,695981
1,291971 2,696131
1,285809 2,695011
1,286280 2,695469
1,207798 2,560778
1,233036 2,560241
1,234868 2,559385
1,233939 2,543580
1,283956 2,561389
1,295289 2,578726
1,273345 2,612368
1,278123 2,610047
1,318963 2,566417
1,308508 2,605013
1,267585 2,555375
1,340808 2,577384
1,308981 2,605408
1,300750 2,578828
1,297549 2,573542
1,240660 2,564617
1,243292 2,553475
1,242701 2,559407
1,212053 2,540660
1,244785 2,564454
1,244389 2,536858
1,322895 2,573979
1,322756 2,570269
1,308523 2,604853
1,308571 2,605100
1,307722 2,602623
